	parent	trade_efficiency	profit	avg_float_parent	sales	trade_cost	weights	outcome_sum	outcome_prices	outcome_names
44	StatTrak™ Nova | Clear Polymer (Battle-Scarred)	0.361	9.771	0.445	1	27.1	0.0087	36.871	31.678,38.902,40.034	StatTrak™ M4A4 | Cyber Security (Well-Worn),StatTrak™ Five-SeveN | Fairy Tale (Well-Worn),StatTrak™ USP-S | Monster Mashup (Field-Tested)
201	StatTrak™ P2000 | Urban Hazard (Minimal Wear)	0.359	3.551	0.075	1	9.9	0.0031	13.450999999999999	15.034,15.015,11.31,15.268,10.627	StatTrak™ MAG-7 | SWAG-7 (Factory New),StatTrak™ UMP-45 | Arctic Wolf (Factory New),StatTrak™ Nova | Wild Six (Factory New),StatTrak™ Glock-18 | Moonrise (Factory New),StatTrak™ Negev | Lionfish (Factory New)
29	StatTrak™ SSG 08 | Parallax (Field-Tested)	0.358	15.552999999999999	0.21	1	43.5	0.0138	59.053000000000004	37.83,42.802,96.525	StatTrak™ M4A4 | Cyber Security (Field-Tested),StatTrak™ Five-SeveN | Fairy Tale (Field-Tested),StatTrak™ USP-S | Monster Mashup (Minimal Wear)
374	MAC-10 | Last Dive (Minimal Wear)	0.35700000000000004	13.754000000000001	0.08	1	38.5	0.0122	52.254	86.96,37.733,32.068	M4A1-S | Decimator (Factory New),AWP | Fever Dream (Factory New),CZ75-Auto | Xiangliu (Factory New)
139	StatTrak™ P90 | Nostalgia (Minimal Wear)	0.35600000000000004	192.42	0.085	1	540.0	0.1704	732.42	1184.625,280.215	StatTrak™ AWP | Wildfire (Factory New),StatTrak™ FAMAS | Commemoration (Factory New)
86	StatTrak™ Tec-9 | Brother (Field-Tested)	0.35600000000000004	14.255999999999998	0.195	1	40.0	0.0126	54.256	57.466,58.5,46.8	StatTrak™ XM1014 | Entombed (Minimal Wear),StatTrak™ Glock-18 | Vogue (Minimal Wear),StatTrak™ M4A4 | Tooth Fairy (Minimal Wear)
368	M249 | Emerald Poison Dart (Minimal Wear)	0.354	13.654000000000002	0.08	1	38.6	0.0121	52.254	86.96,37.733,32.068	M4A1-S | Decimator (Factory New),AWP | Fever Dream (Factory New),CZ75-Auto | Xiangliu (Factory New)
574	Glock-18 | Death Rattle (Minimal Wear)	0.35200000000000004	2.6069999999999998	0.085	1	7.4	0.0023	10.007	9.36,10.52,10.14	Desert Eagle | Meteorite (Factory New),CZ75-Auto | Tuxedo (Factory New),Galil AR | Tuxedo (Factory New)
28	StatTrak™ USP-S | Monster Mashup (Battle-Scarred)	0.35100000000000003	85.82700000000001	0.445	1	244.6	0.076	330.42699999999996	584.512,76.343	StatTrak™ M4A1-S | Printstream (Field-Tested),StatTrak™ Glock-18 | Neo-Noir (Well-Worn)
50	StatTrak™ UMP-45 | Gold Bismuth (Battle-Scarred)	0.349	9.871	0.405	1	28.3	0.0087	38.171	31.678,42.802,40.034	StatTrak™ M4A4 | Cyber Security (Well-Worn),StatTrak™ Five-SeveN | Fairy Tale (Field-Tested),StatTrak™ USP-S | Monster Mashup (Field-Tested)
